epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,5085.26,0.3845,0.21162,0.80825,0.98628,0.98527,0.99325,0.89868,0.45178,0.22273,0.83339,0.000313729,0.000313729,0.000313729
84,5875.01,0.38378,0.20972,0.81199,0.9878,0.98538,0.99174,0.90042,0.45058,0.2224,0.83194,0.000297226,0.000297226,0.000297226
85,6526.87,0.40156,0.21487,0.81303,0.99135,0.98258,0.99259,0.89964,0.44841,0.22397,0.83256,0.000280723,0.000280723,0.000280723
86,7243.84,0.40233,0.21529,0.81493,0.98781,0.98565,0.99193,0.90039,0.44943,0.2214,0.83387,0.00026422,0.00026422,0.00026422
87,7918.64,0.39818,0.21082,0.81313,0.99306,0.98195,0.99345,0.90254,0.44628,0.21951,0.83279,0.000247716,0.000247716,0.000247716
88,8590.08,0.39861,0.20853,0.81195,0.99194,0.98017,0.99322,0.90205,0.44608,0.21786,0.83424,0.000231213,0.000231213,0.000231213
89,9255,0.39286,0.20632,0.81408,0.99209,0.9826,0.99321,0.90216,0.44362,0.21799,0.83334,0.00021471,0.00021471,0.00021471
90,9902.6,0.39089,0.20632,0.81151,0.9882,0.98527,0.99303,0.90262,0.44958,0.22006,0.83383,0.000198206,0.000198206,0.000198206
91,10552.3,0.40641,0.20651,0.81483,0.99225,0.98248,0.99207,0.90288,0.4452,0.2185,0.8328,0.000181703,0.000181703,0.000181703
92,11203.6,0.40273,0.20608,0.81501,0.99391,0.98139,0.99283,0.90297,0.44803,0.21731,0.83252,0.0001652,0.0001652,0.0001652
93,11855.3,0.40151,0.20624,0.81952,0.99193,0.98221,0.99325,0.90477,0.44531,0.21457,0.8315,0.000148696,0.000148696,0.000148696
94,12516.5,0.39885,0.20332,0.81411,0.99206,0.98509,0.99303,0.90526,0.44285,0.21334,0.83052,0.000132193,0.000132193,0.000132193
95,13185.7,0.39753,0.20164,0.8112,0.99286,0.98427,0.99265,0.90553,0.44373,0.21568,0.82956,0.00011569,0.00011569,0.00011569
96,13950.7,0.39766,0.1987,0.81527,0.99218,0.98528,0.99287,0.90578,0.4436,0.21442,0.83124,9.91865e-05,9.91865e-05,9.91865e-05
97,14672.9,0.39613,0.19842,0.81436,0.99074,0.98593,0.9927,0.90819,0.44294,0.21413,0.83144,8.26832e-05,8.26832e-05,8.26832e-05
98,15434.7,0.39291,0.19837,0.81429,0.9918,0.98538,0.99299,0.90514,0.44339,0.21353,0.83215,6.61799e-05,6.61799e-05,6.61799e-05
99,16208.7,0.38979,0.19681,0.81366,0.99183,0.98523,0.99295,0.90582,0.44239,0.21103,0.83205,4.96766e-05,4.96766e-05,4.96766e-05
100,17206.9,0.38862,0.19616,0.8121,0.99181,0.98427,0.99241,0.90475,0.44254,0.21115,0.83149,3.31733e-05,3.31733e-05,3.31733e-05
